item_code,name,description,unit,quantity,location,min_level,reorder_qty,category,active
UTM 100KN -480 TIMMING BELT,2000 -8m-50mm,Timming Belt,Nos,0,,0,0,TRANSMISSION,1
UTM-100KN TB,2000 8m.50mm,Timming Belt,Nos,3,,0,0,TRANSMISSION,1
FV3S-R3-PT8R4,2KW DRIVE,Servo DRIVE UTM 50KN,Nos,5,,0,0,ELECTRICAL,1
T -SLOT 75X 25 X450/640,3 POINT BENDING T SLOT PATTI,3PBA & MOR T SLOT PLATE,Nos,7,,0,0,Others,1
FV5-R3-PT012,3KW Servo DRIVE,Servo DRIVE UTM 100KN,Nos,6,,0,0,ELECTRICAL,1
MFI -5KG -STD SQ WEIGHT,5KGWT MFI,MFI 5KG STD WEIGHT 100 X100 X65,Nos,3,,0,0,Others,1
AC 230V 50HZ,AC SYNCHRONICS MOTOR,MFI Motor,Nos,0,,0,0,ELECTRICAL,1
Allen Bolt M10x35,Allen Bolt M10x35,M10x35,Nos,0,,0,0,HARDWARE,1
Allen Bolt M12x35,Allen Bolt M12x35,M12x35,Nos,0,,0,0,HARDWARE,1
Allen Bolt M12x40,Allen Bolt M12x40,M12x40,Nos,0,,0,0,HARDWARE,1
Allen Bolt M4x10,Allen Bolt M4x10,M4x10,Nos,0,,0,0,HARDWARE,1
Allen Bolt M6x15,Allen Bolt M6x15,M6x15,Nos,0,,0,0,HARDWARE,1
Allen Bolt M8x30,Allen Bolt M8x30,M8x30,Nos,0,,0,0,HARDWARE,1
Allen Bolt M8x40,Allen Bolt M8x40,M8x40,Nos,0,,0,0,HARDWARE,1
Allen CSK Bolt M12x35,Allen CSK Bolt M12x35,M12x35,Nos,0,,0,0,HARDWARE,1
Allen CSK Bolt M4x10,Allen CSK Bolt M4x10,M4x10,Nos,0,,0,0,HARDWARE,1
Allen CSK Bolt M6x15,Allen CSK Bolt M6x15,M6x15,Nos,0,,0,0,HARDWARE,1
Allen CSK Bolt M6x30,Allen CSK Bolt M6x30,M6x30,Nos,0,,0,0,HARDWARE,1
Allen CSK Bolt M8x20,Allen CSK Bolt M8x20,xz,Nos,0,,0,0,HARDWARE,1
UTM 50KN -BUSH,Ballscrew Bush,50KN -BUSH -ID 35 OD 45 X 35,Nos,34,,0,0,METAL,1
UTM 100KN BUSH,Ballscrew Bush 100kN,BALL SCREW BUSH ID 35 OD 45 X 45,Nos,7,,0,0,METAL,1
UTM 50KN -BUSH HOLDING CHUCK NUT,Ballscrew CHECK Nut M24,UTM 50KN BALL SCREW CHUCK NUT M24 X 1.5P,Nos,50,,0,0,METAL,1
UTM 100KN - BALLSCREW CHUCK NUT,Ballscrew chuck NUT M28,BALL SCREW CHUCK NUT,Nos,10,,0,0,METAL,1
UTM 100KN -TIMMER PULLY CHUCK NUT,Ballscrew chuck NUT M32,TIMMER PULLY HOLDING CHUCK NUT,Nos,18,,0,0,TRANSMISSION,1
NUT R25-5T3-FSI HIWIN,BALLSCREW NUT R25,NUT R25-5T3-FSI HIWIN,Nos,1,,0,0,TRANSMISSION,1
R40-10T3-FSI---00HIWIN,BALLSCREW NUT R40,R40-10T3-FSI---00HIWIN,Nos,0,,0,0,TRANSMISSION,1
Nut R50-10T4-FSI Hiwin,Ballscrew Nut R50,R50-10T4-FSI | Make: Hiwin,Nos,0,,0,0,TRANSMISSION,1
R50-10T4-FSI--00 HIWIN,BALLSCREW NUT R50,R50-10T4-FSI--00 HIWIN,Nos,0,,0,0,Others,1
Ballscrew R25-5-890-05.05 Hiwin,Ballscrew R25,R25-5-890-05.05 | Make : Hiwin,Nos,1,,0,0,ELECTRICAL,1
Ballscrew R32-10-1340-1340-0.05 Hiwin,Ballscrew R32,R32-10-1340-1340-0.05 | Make : Hiwin,Nos,0,,0,0,TRANSMISSION,1
Ballscrew R40-10-1340-1340-0.05 Hiwin,Ballscrew R40,R40-10-1340-1340-0.05 | Make : Hiwin,Nos,6,,0,0,TRANSMISSION,1
Ballscrew R50-10-1600-0.05 Hiwin,Ballscrew R50,R50-10-1600-0.05 | Make : Hiwin,Nos,0,,0,0,TRANSMISSION,1
Bearing 30305C,Bearing,30305C,Nos,25,,0,0,TRANSMISSION,1
Bearing 6004-2Z/C3,Bearing,6003-2Z,Nos,6,,0,0,TRANSMISSION,1
Bearing 6304,Bearing,6304,Nos,28,,0,0,TRANSMISSION,1
Bearing 6304-2Z,Bearing,6304-2Z,Nos,8,,0,0,TRANSMISSION,1
Bearing BT-0523(30307),Bearing,BT-0523(30307),Nos,34,,0,0,TRANSMISSION,1
UTM50KN -BEARING HOUSING T,BEARING HOUSING T,Top Plate Bearing Housing,Nos,6,,0,0,METAL,1
UTM 50KN -BEARING HOUSING,"BEARING 30305 
TRB HOUSING (B",Bottom plate Bearing Housing,Nos,7,,0,0,METAL,1
UTM-SSB-HOUSING,Bearing Housing SSB,SSB,Nos,5,,0,0,METAL,1
Bearing 7305 BEP,Bearing,7305 BEP,Nos,34,,0,0,TRANSMISSION,1
Bellow 145x20x600x90,Bellows,"SIZE : 145MM,FOLD-20MM,OPEN :.1100MM,CLOSE-110",Nos,8,,0,0,HARDWARE,1
Bellow 190x20x1100x110,Bellows,"SIZE : 190MM,FOLD-20MM,OPEN :.1100MM,CLOSE-110",Nos,4,,0,0,HARDWARE,1
